asset_id,categories,category_count,primary_category
sei-network,Smart Contract Platform;Decentralized Finance (DeFi);Layer 1 (L1);Parallelized EVM;Coinbase Ventures Portfolio;Multicoin Capital Portfolio;GMCI Layer 1 Index;Delphi Ventures Portfolio;Circle Ventures Portfolio;OKX Ventures Portfolio;GMCI Index;Sei Network Ecosystem;World Liberty Financial Portfolio;Made in USA,14,Decentralized Finance (DeFi)
dydx,Decentralized Exchange (DEX);Exchange-based Tokens;Decentralized Finance (DeFi);Derivatives;Perpetuals;Ethereum Ecosystem;Paradigm Portfolio,7,Decentralized Finance (DeFi)
bonk,BNB Chain Ecosystem;Solana Ecosystem;Polygon Ecosystem;Meme;Arbitrum Ecosystem;Ethereum Ecosystem;Aptos Ecosystem;Dog-Themed;Solana Meme;Neon Ecosystem;GMCI Meme Index;GMCI Index;Made in USA;Coinbase 50 Index;4chan-Themed,15,Meme
genopets,Gaming (GameFi);NFT;BNB Chain Ecosystem;Solana Ecosystem;Play To Earn;Move To Earn;Animoca Brands Portfolio;RPG;Gaming Governance Token;Alameda Research Portfolio;Pantera Capital Portfolio;Action Games,12,Gaming (GameFi)
kryptonite,Artificial Intelligence (AI);BNB Chain Ecosystem;LSDFi;Base Ecosystem;AI Agents;Liquid Staking;Sei Network Ecosystem;Virtuals Protocol Ecosystem;DeFAI,9,Artificial Intelligence (AI)
moonwell-artemis,Decentralized Finance (DeFi);Lending/Borrowing Protocols;Moonbeam Ecosystem;Base Ecosystem;Coinbase Ventures Portfolio;Made in USA,6,Decentralized Finance (DeFi)
the-sandbox,Gaming (GameFi);NFT;Metaverse;Polygon Ecosystem;Play To Earn;Harmony Ecosystem;Ethereum Ecosystem;Animoca Brands Portfolio;Alleged SEC Securities;Binance Launchpad;Gaming Utility Token;Simulation Games;Energi Ecosystem;YZi Labs (Prev. Binance Labs) Portfolio;Coinbase 50 Index,15,Gaming (GameFi)
hyperliquid,Decentralized Exchange (DEX);Smart Contract Platform;Decentralized Finance (DeFi);Perpetuals;Layer 1 (L1);Proof of Stake (PoS);Hyperliquid Ecosystem,7,Decentralized Finance (DeFi)
chainlink,Business Services;Infrastructure;Smart Contract Platform;Decentralized Finance (DeFi);Oracle;BNB Chain Ecosystem;Solana Ecosystem;Avalanche Ecosystem;Polygon Ecosystem;Near Protocol Ecosystem;Gnosis Chain Ecosystem;Fantom Ecosystem;Harmony Ecosystem;Arbitrum Ecosystem;Ethereum Ecosystem;Optimism Ecosystem;Real World Assets (RWA);Base Ecosystem;Osmosis Ecosystem;Cross-chain Communication;Energi Ecosystem;Sora Ecosystem;Huobi ECO Chain Ecosystem;Milkomeda (Cardano) Ecosystem;GMCI DeFi Index;GMCI 30 Index;RWA Protocol;Liquid Staking;GMCI Index;World Liberty Financial Portfolio;Made in USA;Coinbase 50 Index;Chain Abstraction;Hydration Ecosystem,34,Decentralized Finance (DeFi)
tezos,Smart Contract Platform;Layer 1 (L1);Tezos Ecosystem;Proof of Stake (PoS);GMCI Layer 1 Index;GMCI Index;Polychain Capital Portfolio;Made in USA;Coinbase 50 Index,9,Layer 1 (L1)
arkham,Artificial Intelligence (AI);Exchange-based Tokens;Analytics;Derivatives;Perpetuals;Centralized Exchange (CEX) Token;Ethereum Ecosystem;Binance Launchpad;Coinbase Ventures Portfolio;YZi Labs (Prev. Binance Labs) Portfolio;Made in USA,11,Artificial Intelligence (AI)
flow,Smart Contract Platform;Sports;NFT;Layer 1 (L1);Animoca Brands Portfolio;Alleged SEC Securities;Multicoin Capital Portfolio;Proof of Stake (PoS);Flow Ecosystem;Andreessen Horowitz (a16z) Portfolio,10,Layer 1 (L1)
anzen-finance,Decentralized Finance (DeFi);Real World Assets (RWA);Base Ecosystem;Stablecoin Protocol;RWA Protocol,5,Decentralized Finance (DeFi)
guild-of-guardians,Gaming (GameFi);NFT;Ethereum Ecosystem;Immutable zkEVM Ecosystem;RPG;Gaming Governance Token;Gaming Utility Token;Action Games;MMO,9,Gaming (GameFi)
dodo,Decentralized Exchange (DEX);Exchange-based Tokens;Decentralized Finance (DeFi);BNB Chain Ecosystem;Binance Launchpool;Polygon Ecosystem;Near Protocol Ecosystem;Arbitrum Ecosystem;Ethereum Ecosystem;DWF Labs Portfolio;Coinbase Ventures Portfolio;Alameda Research Portfolio;DeFiance Capital Portfolio;Pantera Capital Portfolio;Aurora Ecosystem;Energi Ecosystem;YZi Labs (Prev. Binance Labs) Portfolio;Galaxy Digital Portfolio,18,Decentralized Finance (DeFi)
bubblemaps,Analytics;BNB Chain Ecosystem;Solana Ecosystem;Binance HODLer Airdrops;Binance Wallet IDO,5,Analytics
slerf,Solana Ecosystem;Meme;Solana Meme,3,Meme
stellar,Smart Contract Platform;Real World Assets (RWA);Stellar Ecosystem;GMCI 30 Index;GMCI Index;Made in USA;Coinbase 50 Index,7,GMCI 30 Index
euler,Lending/Borrowing Protocols;Avalanche Ecosystem;Arbitrum Ecosystem;Ethereum Ecosystem;Base Ecosystem;Paradigm Portfolio;Coinbase Ventures Portfolio;Unichain Ecosystem,8,Lending/Borrowing Protocols
mubarak,BNB Chain Ecosystem;Meme,2,Meme
beam-2,Smart Contract Platform;Gaming (GameFi);NFT;BNB Chain Ecosystem;Binance Launchpool;Avalanche Ecosystem;Ethereum Ecosystem;DWF Labs Portfolio;Gaming Blockchains;Avalanche L1,10,Avalanche L1
zcash,Smart Contract Platform;Privacy;Layer 1 (L1);Near Protocol Ecosystem;Zero Knowledge (ZK);Proof of Work (PoW);Pantera Capital Portfolio;Made in USA;Coinbase 50 Index,9,Layer 1 (L1)
ethena,Decentralized Finance (DeFi);Binance Launchpool;Ethereum Ecosystem;Stablecoin Protocol;DragonFly Capital Portfolio;YZi Labs (Prev. Binance Labs) Portfolio;Delphi Ventures Portfolio;OKX Ventures Portfolio;World Liberty Financial Portfolio,9,Decentralized Finance (DeFi)
rainbow-token-2,Gaming (GameFi);NFT;Metaverse;Polygon Ecosystem;Play To Earn;Liquid Staking Governance Tokens;Animal Racing;Breeding;Liquid Staking,9,Gaming (GameFi)
myria,Smart Contract Platform;Gaming (GameFi);NFT;Ethereum Ecosystem;Layer 2 (L2);Rollup;Gaming Blockchains;Gaming Platform;Made in USA,9,Layer 2 (L2)
curve-dao-token,Decentralized Exchange (DEX);Exchange-based Tokens;Decentralized Finance (DeFi);Yield Farming;Automated Market Maker (AMM);Polygon Ecosystem;Fantom Ecosystem;Arbitrum Ecosystem;Ethereum Ecosystem;Optimism Ecosystem;Base Ecosystem;Curve Ecosystem;DWF Labs Portfolio;Stablecoin Protocol;Energi Ecosystem;Sora Ecosystem;YZi Labs (Prev. Binance Labs) Portfolio;GMCI DeFi Index;GMCI Index;Coinbase 50 Index,20,Decentralized Finance (DeFi)
kekius-maximus,Meme;Ethereum Ecosystem;Frog-Themed;Elon Musk-Inspired;PolitiFi;AI Meme;Parody Meme;Celebrity-Themed;Zoo-Themed;Mascot-Themed;Desci Meme,11,Meme
spell-token,Decentralized Finance (DeFi);Yield Farming;Avalanche Ecosystem;Fantom Ecosystem;Arbitrum Ecosystem;Olympus Pro Ecosystem;Ethereum Ecosystem;Stablecoin Protocol,8,Decentralized Finance (DeFi)
ronin,Smart Contract Platform;Gaming (GameFi);NFT;Layer 1 (L1);Play To Earn;Zero Knowledge (ZK);FTX Holdings;Ronin Ecosystem;Gaming Blockchains;SideChain;Andreessen Horowitz (a16z) Portfolio;YZi Labs (Prev. Binance Labs) Portfolio,12,Layer 1 (L1)
fartcoin,Solana Ecosystem;Meme;Solana Meme;AI Meme;Pump.fun Ecosystem;Terminal of Truths;Binance Alpha Spotlight,7,Meme
quant-network,Ethereum Ecosystem;Real World Assets (RWA);Energi Ecosystem;Coinbase 50 Index,4,Coinbase 50 Index
instadapp,Decentralized Finance (DeFi);Polygon Ecosystem;Arbitrum Ecosystem;Ethereum Ecosystem;Base Ecosystem;Coinbase Ventures Portfolio;Pantera Capital Portfolio,7,Decentralized Finance (DeFi)
cookie,Artificial Intelligence (AI);Marketing;Analytics;BNB Chain Ecosystem;Ethereum Ecosystem;Animoca Brands Portfolio;Base Ecosystem;AI Agents;Binance Alpha Spotlight;InfoFi,10,Artificial Intelligence (AI)
grok-2,Meme;Ethereum Ecosystem;Elon Musk-Inspired;AI Meme,4,Meme
solana,Smart Contract Platform;Solana Ecosystem;Layer 1 (L1);Alleged SEC Securities;FTX Holdings;Multicoin Capital Portfolio;Proof of Stake (PoS);Alameda Research Portfolio;Andreessen Horowitz (a16z) Portfolio;GMCI Layer 1 Index;GMCI 30 Index;Delphi Ventures Portfolio;GMCI Index;Polychain Capital Portfolio;Made in USA;Coinbase 50 Index,16,Layer 1 (L1)
metacade,Gaming (GameFi);Play To Earn;Base Ecosystem;Gaming Platform;AI Applications,5,Gaming (GameFi)
rari-governance-token,Decentralized Finance (DeFi);Yield Farming;Yield Aggregator;Polygon Ecosystem;Fantom Ecosystem;Arbitrum Ecosystem;Ethereum Ecosystem;Alleged SEC Securities;Energi Ecosystem,9,Decentralized Finance (DeFi)
spx6900,Solana Ecosystem;Meme;Ethereum Ecosystem;Base Ecosystem;Bridged-Tokens;Murad Picks;Stock market-themed;4chan-Themed,8,Meme
jasmycoin,Internet of Things (IOT);Ethereum Ecosystem;DePIN;DWF Labs Portfolio;Coinbase 50 Index,5,Coinbase 50 Index
tribe-2,Decentralized Finance (DeFi);Ethereum Ecosystem;Stablecoin Protocol,3,Decentralized Finance (DeFi)
chex-token,Decentralized Exchange (DEX);Decentralized Finance (DeFi);BNB Chain Ecosystem;Solana Ecosystem;Ethereum Ecosystem;Real World Assets (RWA);Base Ecosystem;RWA Protocol,8,Decentralized Finance (DeFi)
star-atlas-dao,Gaming (GameFi);Metaverse;Solana Ecosystem;Gaming Governance Token;Alameda Research Portfolio;Made in USA;MMO,7,Gaming (GameFi)
baby-doge-coin,Gaming (GameFi);BNB Chain Ecosystem;Solana Ecosystem;Meme;Ethereum Ecosystem;Dog-Themed;Solana Meme;Gaming Utility Token,8,Meme
siren-2,BNB Chain Ecosystem;Meme;Four.meme Ecosystem,3,Meme
tether,Stablecoins;USD Stablecoin;Solana Ecosystem;Avalanche Ecosystem;Near Protocol Ecosystem;Celo Ecosystem;Ethereum Ecosystem;Kaia Ecosystem;Aptos Ecosystem;FTX Holdings;TON Ecosystem;Tron Ecosystem;Kava Ecosystem;Fiat-backed Stablecoin;World Liberty Financial Portfolio,15,Stablecoins
decentraland,Entertainment;Gaming (GameFi);NFT;Metaverse;Polygon Ecosystem;Play To Earn;Ethereum Ecosystem;Animoca Brands Portfolio;Alleged SEC Securities;Simulation Games;Coinbase 50 Index,11,Gaming (GameFi)
crypto-com-chain,Smart Contract Platform;Exchange-based Tokens;Centralized Exchange (CEX) Token;Layer 1 (L1);Ethereum Ecosystem;GMCI Layer 1 Index;GMCI 30 Index;GMCI Index,8,Layer 1 (L1)
gmx,Decentralized Finance (DeFi);Derivatives;Perpetuals;Avalanche Ecosystem;Arbitrum Ecosystem,5,Decentralized Finance (DeFi)
injective-protocol,Smart Contract Platform;Decentralized Finance (DeFi);BNB Chain Ecosystem;Cosmos Ecosystem;Layer 1 (L1);Ethereum Ecosystem;Real World Assets (RWA);Binance Launchpad;Osmosis Ecosystem;Proof of Stake (PoS);Pantera Capital Portfolio;Secret Ecosystem;YZi Labs (Prev. Binance Labs) Portfolio;GMCI Layer 1 Index;GMCI Index;Made in USA;Coinbase 50 Index,17,Decentralized Finance (DeFi)
deep,Infrastructure;Decentralized Finance (DeFi);Sui Ecosystem,3,Decentralized Finance (DeFi)
syrup,Decentralized Finance (DeFi);Yield Farming;Lending/Borrowing Protocols;Ethereum Ecosystem;Real World Assets (RWA);Base Ecosystem;Binance Alpha Spotlight,7,Decentralized Finance (DeFi)
kaito,Artificial Intelligence (AI);Analytics;Base Ecosystem;Binance HODLer Airdrops;InfoFi,5,Artificial Intelligence (AI)
blockstack,Infrastructure;Smart Contract Platform;Layer 2 (L2);Bitcoin Sidechains;Stacks Ecosystem;SideChain;GMCI Layer 2 Index;GMCI 30 Index;Blockchain Capital Portfolio;GMCI Index;Made in USA;Coinbase 50 Index,12,Layer 2 (L2)
pax-gold,Stablecoins;Tokenized Assets;Tokenized Gold;Ethereum Ecosystem;Real World Assets (RWA);Tokenized Commodities,6,Stablecoins
grass,Artificial Intelligence (AI);Solana Ecosystem;DePIN;Polychain Capital Portfolio;Binance Alpha Spotlight,5,Artificial Intelligence (AI)
aurory,Gaming (GameFi);NFT;Metaverse;Solana Ecosystem;Play To Earn;Animoca Brands Portfolio;DWF Labs Portfolio;Gaming Governance Token;Gaming Utility Token;Adventure Games,10,Gaming (GameFi)
sushi,Decentralized Exchange (DEX);Exchange-based Tokens;Decentralized Finance (DeFi);Yield Farming;Automated Market Maker (AMM);BNB Chain Ecosystem;Yearn Ecosystem;Solana Ecosystem;Avalanche Ecosystem;Polygon Ecosystem;Near Protocol Ecosystem;Fantom Ecosystem;Harmony Ecosystem;Arbitrum Ecosystem;Celo Ecosystem;Ethereum Ecosystem;Base Ecosystem;Alameda Research Portfolio;Pantera Capital Portfolio;Energi Ecosystem;Sora Ecosystem;Blockchain Capital Portfolio,22,Decentralized Finance (DeFi)
render-token,Artificial Intelligence (AI);NFT;Metaverse;Solana Ecosystem;Polygon Ecosystem;Ethereum Ecosystem;DePIN;Multicoin Capital Portfolio;Alameda Research Portfolio;GMCI DePIN Index;GMCI 30 Index;GMCI Index;Made in USA;Coinbase 50 Index,14,NFT
conic-finance,Yield Farming;Ethereum Ecosystem;Curve Ecosystem;Yield Optimizer,4,Yield Farming
tokenbot-2,Artificial Intelligence (AI);Launchpad;Base Ecosystem;AI Applications;Clanker Ecosystem;Binance Alpha Spotlight,6,Artificial Intelligence (AI)
raydium,Decentralized Exchange (DEX);Decentralized Finance (DeFi);Yield Farming;Automated Market Maker (AMM);Solana Ecosystem;Launchpad;GMCI DeFi Index;GMCI Index,8,Decentralized Finance (DeFi)
ethervista,Decentralized Exchange (DEX);Launchpad;Ethereum Ecosystem;Binance Alpha Spotlight,4,Decentralized Exchange (DEX)
morpho,Decentralized Finance (DeFi);Lending/Borrowing Protocols;Ethereum Ecosystem;Base Ecosystem;Coinbase Ventures Portfolio;Pantera Capital Portfolio;Morpho Ecosystem;Binance Alpha Spotlight,8,Decentralized Finance (DeFi)
vela-token,Derivatives;Perpetuals;Arbitrum Ecosystem;Base Ecosystem,4,Derivatives
axie-infinity,Gaming (GameFi);NFT;BNB Chain Ecosystem;Axie Infinity Ecosystem;Metaverse;Play To Earn;Harmony Ecosystem;Ethereum Ecosystem;Animoca Brands Portfolio;Alleged SEC Securities;Binance Launchpad;Ronin Ecosystem;Card Games;Breeding;Paradigm Portfolio;Gaming Governance Token;Gaming Utility Token;Andreessen Horowitz (a16z) Portfolio;Energi Ecosystem;YZi Labs (Prev. Binance Labs) Portfolio;Consensys Portfolio;Coinbase 50 Index,22,Gaming (GameFi)
wibx,Ethereum Ecosystem,1,Ethereum Ecosystem
axelar,Infrastructure;BNB Chain Ecosystem;Avalanche Ecosystem;Polygon Ecosystem;Fantom Ecosystem;Arbitrum Ecosystem;Moonbeam Ecosystem;Ethereum Ecosystem;Optimism Ecosystem;Interoperability;Bridge Governance Tokens;Base Ecosystem;Osmosis Ecosystem;Cross-chain Communication;Secret Ecosystem;Galaxy Digital Portfolio;Polychain Capital Portfolio;Made in USA,18,Infrastructure
immutable-x,Smart Contract Platform;Gaming (GameFi);NFT;Play To Earn;Ethereum Ecosystem;Layer 2 (L2);Zero Knowledge (ZK);Animoca Brands Portfolio;Immutable zkEVM Ecosystem;Coinbase Ventures Portfolio;Rollup;Gaming Blockchains;GMCI 30 Index;GMCI Index;Gaming Marketplace;Coinbase 50 Index,16,Layer 2 (L2)
solayer,Decentralized Finance (DeFi);Solana Ecosystem;LSDFi;Restaking;Stablecoin Protocol;YZi Labs (Prev. Binance Labs) Portfolio;Binance HODLer Airdrops;Polychain Capital Portfolio,8,Decentralized Finance (DeFi)
useless-3,Solana Ecosystem;Meme;Solana Meme;BONK.fun Ecosystem,4,Meme
virtual-protocol,Artificial Intelligence (AI);Solana Ecosystem;Ethereum Ecosystem;Base Ecosystem;AI Agents;Virtuals Protocol Ecosystem;AI Agent Launchpad;Binance Alpha Spotlight,8,Artificial Intelligence (AI)
litecoin,Smart Contract Platform;Layer 1 (L1);Proof of Work (PoW);GMCI 30 Index;GMCI Index;Made in USA;Coinbase 50 Index,7,Layer 1 (L1)
helium,Communication;Internet of Things (IOT);Smart Contract Platform;Solana Ecosystem;DePIN;Multicoin Capital Portfolio;Proof of Stake (PoS);Alameda Research Portfolio;Pantera Capital Portfolio;Andreessen Horowitz (a16z) Portfolio;Made in USA;Coinbase 50 Index,12,Coinbase 50 Index
dogwifcoin,Solana Ecosystem;Meme;Dog-Themed;Solana Meme;GMCI Meme Index;GMCI Index,6,Meme
griffain,Artificial Intelligence (AI);Solana Ecosystem;Pump.fun Ecosystem;AI Agent Launchpad;Binance Alpha Spotlight;DeFAI,6,Artificial Intelligence (AI)
venice-token,Artificial Intelligence (AI);Base Ecosystem;AI Agents;AI Applications;Made in USA,5,Artificial Intelligence (AI)
chill-guy,Solana Ecosystem;Meme;Dog-Themed;Solana Meme;Pump.fun Ecosystem;TikTok Meme,6,Meme
hypercycle,Artificial Intelligence (AI);BNB Chain Ecosystem;Ethereum Ecosystem;Poolz Finance Launchpad,4,Artificial Intelligence (AI)
cosmos,Smart Contract Platform;BNB Chain Ecosystem;Cosmos Ecosystem;Canto Ecosystem;Alleged SEC Securities;Osmosis Ecosystem;Paradigm Portfolio;Proof of Stake (PoS);Kava Ecosystem;Layer 0 (L0);DragonFly Capital Portfolio;Pantera Capital Portfolio;Archway Ecosystem;Evmos Ecosystem;GMCI 30 Index;GMCI Index;Outlier Ventures Portfolio;Polychain Capital Portfolio;Mantra Ecosystem;Coinbase 50 Index,20,GMCI 30 Index
aixbt,Artificial Intelligence (AI);Solana Ecosystem;Meme;Ethereum Ecosystem;Base Ecosystem;AI Meme;AI Agents;Virtuals Protocol Ecosystem;Binance Alpha Spotlight;DeFAI,10,Meme
true-usd,Stablecoins;USD Stablecoin;BNB Chain Ecosystem;Avalanche Ecosystem;Ethereum Ecosystem;Tron Ecosystem;Andreessen Horowitz (a16z) Portfolio;Fiat-backed Stablecoin,8,Stablecoins
polymath,Ethereum Ecosystem;Energi Ecosystem,2,Ethereum Ecosystem
fetch-ai,Artificial Intelligence (AI);NFT;BNB Chain Ecosystem;Cardano Ecosystem;Ethereum Ecosystem;Binance Launchpad;DWF Labs Portfolio;Osmosis Ecosystem;AI Agents;GMCI DePIN Index;GMCI Index;Outlier Ventures Portfolio;AI Agent Launchpad,13,NFT
echelon-prime,Smart Contract Platform;Gaming (GameFi);Ethereum Ecosystem;Base Ecosystem;Card Games;Paradigm Portfolio;Gaming Blockchains;Gaming Utility Token,8,Gaming (GameFi)
aave,Decentralized Finance (DeFi);Yield Farming;BNB Chain Ecosystem;Lending/Borrowing Protocols;Avalanche Ecosystem;Polygon Ecosystem;Near Protocol Ecosystem;Fantom Ecosystem;Harmony Ecosystem;Arbitrum Ecosystem;Ethereum Ecosystem;Optimism Ecosystem;Base Ecosystem;Index Coop Defi Index;Energi Ecosystem;Sora Ecosystem;Huobi ECO Chain Ecosystem;GMCI DeFi Index;Blockchain Capital Portfolio;GMCI Index;World Liberty Financial Portfolio;Coinbase 50 Index;Hydration Ecosystem,23,Decentralized Finance (DeFi)
paal-ai,Artificial Intelligence (AI);Virtual Reality;BNB Chain Ecosystem;Launchpad;Ethereum Ecosystem;Telegram Apps;Discord Bots;Base Ecosystem;PAAL AI Launchpad;AI Agents;AI Applications;AI Agent Launchpad;Binance Alpha Spotlight;AI Framework;DeFAI;Made in USA,16,Artificial Intelligence (AI)
eos,Smart Contract Platform;DWF Labs Portfolio;GMCI Layer 1 Index;GMCI Index;Made in USA;Coinbase 50 Index,6,GMCI Layer 1 Index
mantra-dao,Infrastructure;Smart Contract Platform;BNB Chain Ecosystem;Cosmos Ecosystem;Layer 1 (L1);Polygon Ecosystem;Ethereum Ecosystem;Real World Assets (RWA);Base Ecosystem;Osmosis Ecosystem;Mantra Ecosystem,11,Layer 1 (L1)
smartcash,Smart Contract Platform;Masternodes;Proof of Stake (PoS),3,Smart Contract Platform
yne,Artificial Intelligence (AI);Solana Ecosystem;Decentralized Science (DeSci);AI Agents;Pump.fun Ecosystem;Binance Alpha Spotlight;Made in USA,7,Artificial Intelligence (AI)
internet-computer,Artificial Intelligence (AI);Infrastructure;Smart Contract Platform;Layer 1 (L1);Internet Computer Ecosystem;Alleged SEC Securities;Multicoin Capital Portfolio;Layer 0 (L0);Andreessen Horowitz (a16z) Portfolio;GMCI Layer 1 Index;GMCI 30 Index;Blockchain Capital Portfolio;GMCI Index;Polychain Capital Portfolio;Coinbase 50 Index,15,Layer 1 (L1)
book-of-meme,Solana Ecosystem;Meme;Frog-Themed;Solana Meme;GMCI Meme Index;GMCI Index,6,Meme
evan-2,Solana Ecosystem;Meme;Pump.fun Ecosystem;Binance Alpha Spotlight,4,Meme
clearpool,Decentralized Finance (DeFi);Solana Ecosystem;DaoMaker Launchpad;Ethereum Ecosystem;Real World Assets (RWA);Sequoia Capital Portfolio;Made in USA,7,Decentralized Finance (DeFi)
equilibria-finance,Yield Farming;BNB Chain Ecosystem;Arbitrum Ecosystem;Ethereum Ecosystem;Yield Optimizer,5,Yield Farming
dash,Smart Contract Platform;Privacy;Masternodes;Alleged SEC Securities;Proof of Stake (PoS);Proof of Work (PoW);Made in USA,7,Smart Contract Platform
optimism,Smart Contract Platform;Optimism Ecosystem;Layer 2 (L2);Paradigm Portfolio;Rollup;Andreessen Horowitz (a16z) Portfolio;GMCI Layer 2 Index;GMCI Index;Optimism Superchain Ecosystem;Made in USA,10,Layer 2 (L2)
bio-protocol,Binance Launchpool;Solana Ecosystem;Ethereum Ecosystem;Base Ecosystem;Decentralized Science (DeSci),5,Binance Launchpool
velvet,Artificial Intelligence (AI);Decentralized Finance (DeFi);BNB Chain Ecosystem;Base Ecosystem;YZi Labs (Prev. Binance Labs) Portfolio;AI Applications;DeFAI;Binance Wallet IDO,8,Decentralized Finance (DeFi)
bigcoin-2,Proof of Work (PoW);Abstract Ecosystem,2,Proof of Work (PoW)
